Gene stable ID,Goat gene stable ID,Goat homology type
ENSOARG00000000041,ENSCHIG00000019355,ortholog_one2one
ENSOARG00000000047,ENSCHIG00000025574,ortholog_one2one
ENSOARG00000000049,ENSCHIG00000021485,ortholog_one2one
ENSOARG00000000053,ENSCHIG00000015315,ortholog_one2one
ENSOARG00000000149,ENSCHIG00000014511,ortholog_one2one
ENSOARG00000000181,ENSCHIG00000025575,ortholog_one2one
ENSOARG00000000216,ENSCHIG00000011023,ortholog_one2one
ENSOARG00000000217,ENSCHIG00000021483,ortholog_one2one
ENSOARG00000000251,ENSCHIG00000000576,ortholog_one2one
ENSOARG00000000305,ENSCHIG00000025640,ortholog_one2one
ENSOARG00000000307,ENSCHIG00000026961,ortholog_one2one
ENSOARG00000000315,ENSCHIG00000014743,ortholog_one2many
ENSOARG00000000335,ENSCHIG00000014411,ortholog_one2one
ENSOARG00000000344,ENSCHIG00000023670,ortholog_one2one
ENSOARG00000000405,ENSCHIG00000012370,ortholog_one2one
ENSOARG00000000461,ENSCHIG00000023751,ortholog_one2one
ENSOARG00000000500,ENSCHIG00000020702,ortholog_one2one
ENSOARG00000000524,ENSCHIG00000020595,ortholog_one2one
ENSOARG00000000559,ENSCHIG00000026115,ortholog_one2one
ENSOARG00000000567,ENSCHIG00000003257,ortholog_one2one
ENSOARG00000000615,ENSCHIG00000024182,ortholog_one2one
ENSOARG00000000644,ENSCHIG00000023451,ortholog_one2one
ENSOARG00000000658,ENSCHIG00000021148,ortholog_one2one
ENSOARG00000000696,ENSCHIG00000022925,ortholog_one2one
ENSOARG00000000698,ENSCHIG00000010933,ortholog_one2one
ENSOARG00000000750,ENSCHIG00000022905,ortholog_one2one
ENSOARG00000000783,ENSCHIG00000015039,ortholog_one2one
ENSOARG00000000910,ENSCHIG00000027045,ortholog_one2one
ENSOARG00000000939,ENSCHIG00000015699,ortholog_one2one
ENSOARG00000000952,ENSCHIG00000016382,ortholog_one2one
ENSOARG00000000998,ENSCHIG00000023863,ortholog_one2one
ENSOARG00000001045,ENSCHIG00000008531,ortholog_one2one
ENSOARG00000001075,ENSCHIG00000012526,ortholog_one2one
ENSOARG00000001111,ENSCHIG00000011101,ortholog_one2one
ENSOARG00000001167,ENSCHIG00000015565,ortholog_one2one
ENSOARG00000001262,ENSCHIG00000024173,ortholog_one2one
ENSOARG00000001274,ENSCHIG00000015422,ortholog_one2many
ENSOARG00000001274,ENSCHIG00000010437,ortholog_one2many
ENSOARG00000001354,ENSCHIG00000017616,ortholog_one2one
ENSOARG00000001355,ENSCHIG00000013144,ortholog_one2one
ENSOARG00000001399,ENSCHIG00000010684,ortholog_one2one
ENSOARG00000001406,ENSCHIG00000024107,ortholog_one2many
ENSOARG00000001419,ENSCHIG00000023873,ortholog_one2one
ENSOARG00000001438,ENSCHIG00000018718,ortholog_one2one
ENSOARG00000001463,ENSCHIG00000016716,ortholog_one2one
ENSOARG00000001573,ENSCHIG00000017086,ortholog_one2one
ENSOARG00000001614,ENSCHIG00000008840,ortholog_one2one
ENSOARG00000001641,ENSCHIG00000013166,ortholog_one2one
ENSOARG00000001666,ENSCHIG00000025023,ortholog_one2one
ENSOARG00000001700,ENSCHIG00000024684,ortholog_one2one
ENSOARG00000001735,ENSCHIG00000026479,ortholog_one2one
ENSOARG00000001757,ENSCHIG00000013849,ortholog_one2one
ENSOARG00000001815,ENSCHIG00000027084,ortholog_one2one
ENSOARG00000001841,ENSCHIG00000022526,ortholog_one2one
ENSOARG00000001865,ENSCHIG00000009997,ortholog_one2one
ENSOARG00000001924,ENSCHIG00000022835,ortholog_one2one
ENSOARG00000002007,ENSCHIG00000017104,ortholog_one2one
ENSOARG00000002048,ENSCHIG00000021922,ortholog_one2one
ENSOARG00000002091,ENSCHIG00000023741,ortholog_one2one
ENSOARG00000002139,ENSCHIG00000016443,ortholog_one2one
ENSOARG00000002150,ENSCHIG00000013171,ortholog_one2one
ENSOARG00000002204,ENSCHIG00000010855,ortholog_one2one
ENSOARG00000002249,ENSCHIG00000011462,ortholog_one2one
ENSOARG00000002391,ENSCHIG00000014549,ortholog_one2one
ENSOARG00000002416,ENSCHIG00000016687,ortholog_one2one
ENSOARG00000002426,ENSCHIG00000024165,ortholog_one2one
ENSOARG00000002457,ENSCHIG00000024722,ortholog_one2one
ENSOARG00000002481,ENSCHIG00000027052,ortholog_one2one
ENSOARG00000002507,ENSCHIG00000023223,ortholog_one2one
ENSOARG00000002561,ENSCHIG00000022048,ortholog_one2one
ENSOARG00000002564,ENSCHIG00000019648,ortholog_one2one
ENSOARG00000002579,ENSCHIG00000014515,ortholog_one2one
ENSOARG00000002597,ENSCHIG00000017606,ortholog_one2one
ENSOARG00000002627,ENSCHIG00000026880,ortholog_one2one
ENSOARG00000002785,ENSCHIG00000022589,ortholog_one2one
ENSOARG00000002820,ENSCHIG00000021802,ortholog_one2one
ENSOARG00000002824,ENSCHIG00000023124,ortholog_one2one
ENSOARG00000003062,ENSCHIG00000012891,ortholog_one2one
ENSOARG00000003093,ENSCHIG00000002944,ortholog_one2one
ENSOARG00000003100,ENSCHIG00000022179,ortholog_one2one
ENSOARG00000003117,ENSCHIG00000009148,ortholog_one2many
ENSOARG00000003117,ENSCHIG00000015890,ortholog_one2many
ENSOARG00000003154,ENSCHIG00000018776,ortholog_one2one
ENSOARG00000003176,ENSCHIG00000027253,ortholog_one2one
ENSOARG00000003219,ENSCHIG00000026982,ortholog_one2one
